DATASET_GRADIENT
SEPARATOR TAB
DATASET_LABEL	n_amr_genes_strict
COLOR	#ff0000
COLOR_MIN	#ffffff
COLOR_MAX	#000000
DATA
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
cx_0004_0037_b7	41.0
af_0058_0067_g5	1.0
an_0080_0058_d6	2.0
an_0080_0058_d6	2.0
af_0058_0056_e3	2.0
af_0058_0056_e3	2.0
af_0058_0056_d3	2.0
af_0058_0056_d3	2.0
av_0103_0014_b4	3.0
av_0103_0014_b4	3.0
av_0103_0014_b4	3.0
av_0103_0014_a10	3.0
av_0103_0014_a10	3.0
av_0103_0014_a10	3.0
af_0058_0067_c2	1.0
an_0080_0058_a2	2.0
an_0080_0058_a2	2.0
av_0103_0014_e7	3.0
av_0103_0014_e7	3.0
av_0103_0014_e7	3.0
af_0058_0056_a6	2.0
af_0058_0056_a6	2.0
an_0080_0058_e6	2.0
an_0080_0058_e6	2.0
av_0103_0014_c11-BIS	3.0
av_0103_0014_c11-BIS	3.0
av_0103_0014_c11-BIS	3.0
av_0103_0014_h5	3.0
av_0103_0014_h5	3.0
av_0103_0014_h5	3.0
av_0103_0014_f3	3.0
av_0103_0014_f3	3.0
av_0103_0014_f3	3.0
av_0103_0014_g1	3.0
av_0103_0014_g1	3.0
av_0103_0014_g1	3.0
an_0080_0058_g5	2.0
an_0080_0058_g5	2.0
av_0103_0014_f2	3.0
av_0103_0014_f2	3.0
av_0103_0014_f2	3.0
av_0103_0014_h6	3.0
av_0103_0014_h6	3.0
av_0103_0014_h6	3.0
av_0103_0014_b5	3.0
av_0103_0014_b5	3.0
av_0103_0014_b5	3.0
bq_0049_0072_h4	6.0
bq_0049_0072_h4	6.0
bq_0049_0072_h4	6.0
bq_0049_0072_h4	6.0
bq_0049_0072_h4	6.0
bq_0049_0072_h4	6.0
af_0058_0056_d11	1.0
af_0058_0077_e6	2.0
af_0058_0077_e6	2.0
an_0080_0058_d3	2.0
an_0080_0058_d3	2.0
af_0058_0071_f4	2.0
af_0058_0071_f4	2.0
af_0058_0056_d1	2.0
af_0058_0056_d1	2.0
bq_0049_0037_a5	5.0
bq_0049_0037_a5	5.0
bq_0049_0037_a5	5.0
bq_0049_0037_a5	5.0
bq_0049_0037_a5	5.0
af_0058_0077_f6	2.0
af_0058_0077_f6	2.0
an_0080_0058_b1	2.0
an_0080_0058_b1	2.0
aa_0143_0037_g1	2.0
aa_0143_0037_g1	2.0
af_0058_0077_a4	2.0
af_0058_0077_a4	2.0
af_0058_0071_e5	2.0
af_0058_0071_e5	2.0
af_0058_0071_b2	2.0
af_0058_0071_b2	2.0
af_0058_0071_b6	2.0
af_0058_0071_b6	2.0
af_0058_0066_h3	2.0
af_0058_0066_h3	2.0
af_0058_0056_e5	2.0
af_0058_0056_e5	2.0
